0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Наим-е подвески;точки подв-ки 1Б.Р;;Точка подв-ки 2;;Точки подв-ки 3.4;;Точки подв-ки 5.6;;точки подв-ки 7.8;;точки подв-ки 9.10;;Точки подв-ки 11.12;
26;Подвеска С-13;-----;;-----;;2552;12.956;-----;;-----;;-----;;1248;12.567
;1;;;;;;;;;;;;;106;12.548
;2;;;;;196;13.037;;;;;;;;
;БД3-УСКМ;;;;;216;12.928;;;;;;;108;12.548
;Пусковое устройство Б13Л;;;;;640;13.118;;;;;;;320;12.738
;Снаряды С-13Т (полная зарядка);;;;;1500;12.88;;;;;;;750;12.5
27;Подвеска С-25ОФМ;-----;;-----;;2416;12.883;-----;;-----;;-----;;1216;12.494
;1;;;;;;;;;;;;;106;12.548
;2;;;;;196;13.037;;;;;;;;
;БД3-УСКМ;;;;;216;12.928;;;;;;;108;12.548
;Пусковое устройство О-25Л;;;;;284;13.577;;;;;;;142;13.197
;Снаряды С-25ОФМ;;;;;1720;12.745;;;;;;;860;12.365
28;Подвеска С-25ЛД;-----;;-----;;1276;12.944;-----;;-----;;-----;;1280;12.464
;1;;;;;102;13.028;;;;;;;106;12.548
;БД3-УСКМ;;;;;108;13.028;;;;;;;108;12.548
;Пусковое устройсиво О-25Л;;;;;106;13.677;;;;;;;106;13.197
;снаряды С-25ЛД;;;;;960;12.845;;;;;;;960;12.365
